18.1743 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [2880, 1920]. Using actual size
62.1417 	EXP 	text: height = 0.05
62.1417 	EXP 	text: text = 'GBP15 todayor GBP 35after13 days'
62.1417 	EXP 	fixation: autoDraw = True
63.1418 	EXP 	fixation: autoDraw = False
63.1418 	EXP 	text: autoDraw = True
63.1623 	DATA 	Keypress: t
63.1770 	EXP 	New trial (rep=0, index=30): {'reward_today': 57, 'future_reward': 96, 'delay': 90}
63.1916 	EXP 	fixation: autoDraw = False
63.1916 	EXP 	text: autoDraw = False
63.1916 	EXP 	text: height = 0.05
63.1916 	EXP 	text: height = 0.05
63.1916 	EXP 	text: height = 0.05
63.1916 	EXP 	text: text = 'GBP57 todayor GBP 96after90 days'
63.1916 	EXP 	fixation: autoDraw = True
64.1916 	EXP 	fixation: autoDraw = False
64.1916 	EXP 	text: autoDraw = True
64.3433 	EXP 	New trial (rep=0, index=31): {'reward_today': 28, 'future_reward': 104, 'delay': 60}
64.3504 	DATA 	Keypress: l
64.3583 	EXP 	fixation: autoDraw = False
64.3583 	EXP 	text: autoDraw = False
64.3583 	EXP 	text: height = 0.05
64.3583 	EXP 	text: height = 0.05
64.3583 	EXP 	text: height = 0.05
64.3583 	EXP 	text: text = 'GBP28 todayor GBP 104after60 days'
64.3583 	EXP 	fixation: autoDraw = True
65.3580 	EXP 	fixation: autoDraw = False
65.3580 	EXP 	text: autoDraw = True
65.6102 	DATA 	Keypress: l
65.6274 	EXP 	New trial (rep=0, index=32): {'reward_today': 6, 'future_reward': 101, 'delay': 46}
65.6417 	EXP 	fixation: autoDraw = False
65.6417 	EXP 	text: autoDraw = False
65.6417 	EXP 	text: height = 0.05
65.6417 	EXP 	text: height = 0.05
65.6417 	EXP 	text: height = 0.05
65.6417 	EXP 	text: text = 'GBP6 todayor GBP 101after46 days'
65.6417 	EXP 	fixation: autoDraw = True
66.6416 	EXP 	fixation: autoDraw = False
66.6416 	EXP 	text: autoDraw = True
66.7942 	EXP 	New trial (rep=0, index=33): {'reward_today': 55, 'future_reward': 121, 'delay': 40}
66.8065 	DATA 	Keypress: l
66.8090 	EXP 	fixation: autoDraw = False
66.8090 	EXP 	text: autoDraw = False
66.8090 	EXP 	text: height = 0.05
66.8090 	EXP 	text: height = 0.05
66.8090 	EXP 	text: height = 0.05
66.8090 	EXP 	text: text = 'GBP55 todayor GBP 121after40 days'
66.8090 	EXP 	fixation: autoDraw = True
67.8081 	EXP 	fixation: autoDraw = False
67.8081 	EXP 	text: autoDraw = True
67.9438 	EXP 	New trial (rep=0, index=34): {'reward_today': 7, 'future_reward': 130, 'delay': 95}
67.9543 	DATA 	Keypress: t
67.9582 	EXP 	fixation: autoDraw = False
67.9582 	EXP 	text: autoDraw = False
67.9582 	EXP 	text: height = 0.05
67.9582 	EXP 	text: height = 0.05
67.9582 	EXP 	text: height = 0.05
67.9582 	EXP 	text: text = 'GBP7 todayor GBP 130after95 days'
67.9582 	EXP 	fixation: autoDraw = True
68.9581 	EXP 	fixation: autoDraw = False
68.9581 	EXP 	text: autoDraw = True
68.9777 	EXP 	New trial (rep=0, index=35): {'reward_today': 77, 'future_reward': 91, 'delay': 73}
68.9859 	DATA 	Keypress: t
68.9914 	EXP 	fixation: autoDraw = False
68.9914 	EXP 	text: autoDraw = False
68.9914 	EXP 	text: height = 0.05
68.9914 	EXP 	text: height = 0.05
68.9914 	EXP 	text: height = 0.05
68.9914 	EXP 	text: text = 'GBP77 todayor GBP 91after73 days'
68.9914 	EXP 	fixation: autoDraw = True
69.9784 	DATA 	Keypress: t
69.9919 	EXP 	fixation: autoDraw = False
69.9919 	EXP 	text: autoDraw = True
70.4942 	EXP 	New trial (rep=0, index=36): {'reward_today': 46, 'future_reward': 103, 'delay': 98}
70.5022 	DATA 	Keypress: t
70.5080 	EXP 	fixation: autoDraw = False
70.5080 	EXP 	text: autoDraw = False
70.5080 	EXP 	text: height = 0.05
70.5080 	EXP 	text: height = 0.05
70.5080 	EXP 	text: height = 0.05
70.5080 	EXP 	text: text = 'GBP46 todayor GBP 103after98 days'
70.5080 	EXP 	fixation: autoDraw = True
71.3611 	DATA 	Keypress: t
71.5083 	EXP 	fixation: autoDraw = False
71.5083 	EXP 	text: autoDraw = True
72.5598 	EXP 	New trial (rep=0, index=37): {'reward_today': 37, 'future_reward': 129, 'delay': 56}
72.5676 	DATA 	Keypress: t
72.5749 	EXP 	fixation: autoDraw = False
72.5749 	EXP 	text: autoDraw = False
72.5749 	EXP 	text: height = 0.05
72.5749 	EXP 	text: height = 0.05
72.5749 	EXP 	text: height = 0.05
72.5749 	EXP 	text: text = 'GBP37 todayor GBP 129after56 days'
72.5749 	EXP 	fixation: autoDraw = True
73.5749 	EXP 	fixation: autoDraw = False
73.5749 	EXP 	text: autoDraw = True
73.6772 	EXP 	New trial (rep=0, index=38): {'reward_today': 49, 'future_reward': 60, 'delay': 89}
73.6864 	DATA 	Keypress: l
73.6916 	EXP 	fixation: autoDraw = False
73.6916 	EXP 	text: autoDraw = False
73.6916 	EXP 	text: height = 0.05
73.6916 	EXP 	text: height = 0.05
73.6916 	EXP 	text: height = 0.05
73.6916 	EXP 	text: text = 'GBP49 todayor GBP 60after89 days'
73.6916 	EXP 	fixation: autoDraw = True
74.6917 	EXP 	fixation: autoDraw = False
74.6917 	EXP 	text: autoDraw = True
74.7275 	EXP 	New trial (rep=0, index=39): {'reward_today': 54, 'future_reward': 120, 'delay': 93}
74.7391 	DATA 	Keypress: l
74.7418 	EXP 	fixation: autoDraw = False
74.7418 	EXP 	text: autoDraw = False
74.7418 	EXP 	text: height = 0.05
74.7418 	EXP 	text: height = 0.05
74.7418 	EXP 	text: height = 0.05
74.7418 	EXP 	text: text = 'GBP54 todayor GBP 120after93 days'
74.7418 	EXP 	fixation: autoDraw = True
75.7416 	EXP 	fixation: autoDraw = False
75.7416 	EXP 	text: autoDraw = True
75.8279 	DATA 	Keypress: t
75.8432 	EXP 	New trial (rep=0, index=40): {'reward_today': 75, 'future_reward': 81, 'delay': 146}
75.8584 	EXP 	fixation: autoDraw = False
75.8584 	EXP 	text: autoDraw = False
75.8584 	EXP 	text: height = 0.05
75.8584 	EXP 	text: height = 0.05
75.8584 	EXP 	text: height = 0.05
75.8584 	EXP 	text: text = 'GBP75 todayor GBP 81after146 days'
75.8584 	EXP 	fixation: autoDraw = True
76.8583 	EXP 	fixation: autoDraw = False
76.8583 	EXP 	text: autoDraw = True
76.9759 	EXP 	New trial (rep=0, index=41): {'reward_today': 25, 'future_reward': 113, 'delay': 126}
76.9813 	DATA 	Keypress: t
76.9917 	EXP 	fixation: autoDraw = False
76.9917 	EXP 	text: autoDraw = False
76.9917 	EXP 	text: height = 0.05
76.9917 	EXP 	text: height = 0.05
76.9917 	EXP 	text: height = 0.05
76.9917 	EXP 	text: text = 'GBP25 todayor GBP 113after126 days'
76.9917 	EXP 	fixation: autoDraw = True
77.9748 	EXP 	text: autoDraw = True
77.9918 	EXP 	fixation: autoDraw = False
78.0797 	DATA 	Keypress: t
78.0932 	EXP 	New trial (rep=0, index=42): {'reward_today': 28, 'future_reward': 103, 'delay': 138}
78.1081 	EXP 	fixation: autoDraw = False
78.1081 	EXP 	text: autoDraw = False
78.1081 	EXP 	text: height = 0.05
78.1081 	EXP 	text: height = 0.05
78.1081 	EXP 	text: height = 0.05
78.1081 	EXP 	text: text = 'GBP28 todayor GBP 103after138 days'
78.1081 	EXP 	fixation: autoDraw = True
78.9445 	DATA 	Keypress: l
79.1086 	EXP 	fixation: autoDraw = False
79.1086 	EXP 	text: autoDraw = True
79.9259 	EXP 	New trial (rep=0, index=43): {'reward_today': 71, 'future_reward': 106, 'delay': 100}
79.9315 	DATA 	Keypress: t
79.9416 	EXP 	fixation: autoDraw = False
79.9416 	EXP 	text: autoDraw = False
79.9416 	EXP 	text: height = 0.05
79.9416 	EXP 	text: height = 0.05
79.9416 	EXP 	text: height = 0.05
79.9416 	EXP 	text: text = 'GBP71 todayor GBP 106after100 days'
79.9416 	EXP 	fixation: autoDraw = True
80.9250 	EXP 	text: autoDraw = True
80.9433 	EXP 	fixation: autoDraw = False
81.1604 	EXP 	New trial (rep=0, index=44): {'reward_today': 35, 'future_reward': 116, 'delay': 100}
81.1669 	DATA 	Keypress: t
81.1750 	EXP 	fixation: autoDraw = False
